証券コード,33業種番号,33業種名,17業種番号,17業種名
29830,8050,不動産業,17,不動産
63360,3600,機械,8,機械
19280,2050,建設業,3,建設・資材
22170,3050,食料品,1,食品
96370,,,,
30710,6100,小売業,14,小売
97340,,,,
81420,6050,卸売業,13,商社・卸売
97430,9050,サービス業,10,情報通信・サービスその他
96360,9050,サービス業,10,情報通信・サービスその他
80680,,,,
45920,3250,医薬品,5,医薬品
68980,3650,電気機器,9,電機・精密
30700,6050,卸売業,13,商社・卸売
30570,,,,
42380,3200,化学,4,素材・化学
52480,5250,情報･通信業,10,情報通信・サービスその他
43340,5250,情報･通信業,10,情報通信・サービスその他
39950,,,,
88420,,,,
96320,9050,サービス業,10,情報通信・サービスその他
21630,9050,サービス業,10,情報通信・サービスその他
36650,5250,情報･通信業,10,情報通信・サービスその他
39210,5250,情報･通信業,10,情報通信・サービスその他
41740,5250,情報･通信業,10,情報通信・サービスその他
29970,8050,不動産業,17,不動産
42870,5250,情報･通信業,10,情報通信・サービスその他
70730,9050,サービス業,10,情報通信・サービスその他
42670,5250,情報･通信業,10,情報通信・サービスその他
35650,6050,卸売業,13,商社・卸売
32460,8050,不動産業,17,不動産
66540,3650,電気機器,9,電機・精密
76140,6100,小売業,14,小売
43690,3200,化学,4,素材・化学
80130,3100,繊維製品,4,素材・化学
36570,5250,情報･通信業,10,情報通信・サービスその他
50310,5250,情報･通信業,10,情報通信・サービスその他
33990,6100,小売業,14,小売
31690,6100,小売業,14,小売
67570,3650,電気機器,9,電機・精密
41750,5250,情報･通信業,10,情報通信・サービスその他
14330,2050,建設業,3,建設・資材
31590,6100,小売業,14,小売
70640,9050,サービス業,10,情報通信・サービスその他
71960,7200,その他金融業,16,金融（除く銀行）
76740,6100,小売業,14,小売
76830,6100,小売業,14,小売
27760,6050,卸売業,13,商社・卸売
33330,6100,小売業,14,小売
82270,6100,小売業,14,小売
82170,6100,小売業,14,小売
75450,6100,小売業,14,小売
89050,8050,不動産業,17,不動産
62790,3600,機械,8,機械
26860,6100,小売業,14,小売
82760,6100,小売業,14,小売
27780,6100,小売業,14,小売
99760,6100,小売業,14,小売
82780,6100,小売業,14,小売
74500,6100,小売業,14,小売
67340,3650,電気機器,9,電機・精密
43430,9050,サービス業,10,情報通信・サービスその他
32220,6100,小売業,14,小売
26530,6100,小売業,14,小売
97870,9050,サービス業,10,情報通信・サービスその他
99460,6100,小売業,14,小売
23540,5250,情報･通信業,10,情報通信・サービスその他
82000,6100,小売業,14,小売
76240,6050,卸売業,13,商社・卸売
52710,3400,ガラス･土石製品,3,建設・資材
99480,6100,小売業,14,小売
81680,,,,
93810,5200,倉庫･運輸関連業,12,運輸・物流
27470,6100,小売業,14,小売
96010,5250,情報･通信業,10,情報通信・サービスその他
30930,6100,小売業,14,小売
39220,5250,情報･通信業,10,情報通信・サービスその他
92750,6100,小売業,14,小売
31980,6100,小売業,14,小売
39350,5250,情報･通信業,10,情報通信・サービスその他
26980,6100,小売業,14,小売
76110,6100,小売業,14,小売
27260,6100,小売業,14,小売
26690,6100,小売業,14,小売
75120,6100,小売業,14,小売
17120,2050,建設業,3,建設・資材
98460,6100,小売業,14,小売
47450,9050,サービス業,10,情報通信・サービスその他
76030,6100,小売業,14,小売
82330,6100,小売業,14,小売
22920,3050,食料品,1,食品
98760,6100,小売業,14,小売
74270,6050,卸売業,13,商社・卸売
47630,9050,サービス業,10,情報通信・サービスその他
81980,6100,小売業,14,小売
82030,6100,小売業,14,小売
33530,6100,小売業,14,小売
26680,6050,卸売業,13,商社・卸売
76790,6100,小売業,14,小売
23790,9050,サービス業,10,情報通信・サービスその他
64690,3600,機械,8,機械
36270,5250,情報･通信業,10,情報通信・サービスその他
26510,,,,
99740,6100,小売業,14,小売
65060,3650,電気機器,9,電機・精密
82730,6100,小売業,14,小売
35460,6100,小売業,14,小売
97160,9050,サービス業,10,情報通信・サービスその他
44940,5250,情報･通信業,10,情報通信・サービスその他
44290,5250,情報･通信業,10,情報通信・サービスその他
70770,9050,サービス業,10,情報通信・サービスその他
21860,9050,サービス業,10,情報通信・サービスその他
85700,7200,その他金融業,16,金融（除く銀行）
30830,6100,小売業,14,小売
99770,,,,
96020,5250,情報･通信業,10,情報通信・サービスその他
39670,5250,情報･通信業,10,情報通信・サービスその他
46450,9050,サービス業,10,情報通信・サービスその他
61420,,,,
44130,5250,情報･通信業,10,情報通信・サービスその他
64320,3600,機械,8,機械
68140,3650,電気機器,9,電機・精密
38260,5250,情報･通信業,10,情報通信・サービスその他
81940,6100,小売業,14,小売
75200,6100,小売業,14,小売
97930,9050,サービス業,10,情報通信・サービスその他
30650,6100,小売業,14,小売
30300,6100,小売業,14,小売
97780,9050,サービス業,10,情報通信・サービスその他
27420,6100,小売業,14,小売
79750,3800,その他製品,10,情報通信・サービスその他
44320,5250,情報･通信業,10,情報通信・サービスその他
30500,6100,小売業,14,小売
78470,3800,その他製品,10,情報通信・サービスその他
33820,6100,小売業,14,小売
26590,6100,小売業,14,小売
80080,6100,小売業,14,小売
97400,9050,サービス業,10,情報通信・サービスその他
98610,6100,小売業,14,小売
89180,8050,不動産業,17,不動産
82440,6100,小売業,14,小売
75160,6100,小売業,14,小売
99030,6100,小売業,14,小売
74850,,,,
81670,6100,小売業,14,小売
81810,6100,小売業,14,小売
77190,3750,精密機器,9,電機・精密
23410,9050,サービス業,10,情報通信・サービスその他
82370,6100,小売業,14,小売
26850,6100,小売業,14,小売
27890,6100,小売業,14,小売
50780,2050,建設業,3,建設・資材
29180,3050,食料品,1,食品
14180,2050,建設業,3,建設・資材
26830,6100,小売業,14,小売
76100,6100,小売業,14,小売
49200,3200,化学,4,素材・化学
32230,6100,小売業,14,小売
98420,6100,小売業,14,小売
82600,6100,小売業,14,小売
30860,6100,小売業,14,小売
81850,6100,小売業,14,小売
36780,5250,情報･通信業,10,情報通信・サービスその他
61830,9050,サービス業,10,情報通信・サービスその他
42700,5250,情報･通信業,10,情報通信・サービスその他
80160,3100,繊維製品,4,素材・化学
32600,,,,
31410,6100,小売業,14,小売
36080,3100,繊維製品,4,素材・化学
60930,9050,サービス業,10,情報通信・サービスその他
96610,9050,サービス業,10,情報通信・サービスその他
45300,3250,医薬品,5,医薬品
35430,6050,卸売業,13,商社・卸売
40170,5250,情報･通信業,10,情報通信・サービスその他
60860,9050,サービス業,10,情報通信・サービスその他
28720,3050,食料品,1,食品
44340,5250,情報･通信業,10,情報通信・サービスその他
65210,3650,電気機器,9,電機・精密
31810,6100,小売業,14,小売
65430,9050,サービス業,10,情報通信・サービスその他
81660,6100,小売業,14,小売
65720,9050,サービス業,10,情報通信・サービスその他
27980,6100,小売業,14,小売
30870,6100,小売業,14,小売
75150,6100,小売業,14,小売
32800,8050,不動産業,17,不動産
81250,6050,卸売業,13,商社・卸売
28820,3050,食料品,1,食品
75440,6100,小売業,14,小売
89310,8050,不動産業,17,不動産
59930,,,,
98350,6100,小売業,14,小売
39770,,,,
47140,9050,サービス業,10,情報通信・サービスその他
78940,,,,
59000,3550,金属製品,3,建設・資材
82670,6100,小売業,14,小売
75990,6050,卸売業,13,商社・卸売
39150,5250,情報･通信業,10,情報通信・サービスその他
61820,9050,サービス業,10,情報通信・サービスその他
70490,9050,サービス業,10,情報通信・サービスその他
35480,6100,小売業,14,小売
65320,9050,サービス業,10,情報通信・サービスその他
26870,6100,小売業,14,小売
23370,8050,不動産業,17,不動産
59820,3550,金属製品,3,建設・資材
33870,6100,小売業,14,小売
78070,3800,その他製品,10,情報通信・サービスその他
27060,,,,
81430,3100,繊維製品,4,素材・化学
30730,6100,小売業,14,小売
68970,3650,電気機器,9,電機・精密
65550,9050,サービス業,10,情報通信・サービスその他
35580,6100,小売業,14,小売
58170,3500,非鉄金属,7,鉄鋼・非鉄
30940,6100,小売業,14,小売
99820,6050,卸売業,13,商社・卸売
82470,6100,小売業,14,小売
93260,5200,倉庫･運輸関連業,12,運輸・物流
33960,6100,小売業,14,小売
80110,3100,繊維製品,4,素材・化学
39960,5250,情報･通信業,10,情報通信・サービスその他
76010,6100,小売業,14,小売
82890,6100,小売業,14,小売
50250,5250,情報･通信業,10,情報通信・サービスその他
29350,3050,食料品,1,食品
50180,3300,石油･石炭製品,2,エネルギー資源
31920,6100,小売業,14,小売
34900,8050,不動産業,17,不動産
35500,6100,小売業,14,小売
78290,,,,
65780,9050,サービス業,10,情報通信・サービスその他
92530,9050,サービス業,10,情報通信・サービスその他
26700,6100,小売業,14,小売
23050,9050,サービス業,10,情報通信・サービスその他
63230,3600,機械,8,機械
28840,3050,食料品,1,食品
76300,6100,小売業,14,小売
76890,6050,卸売業,13,商社・卸売
30800,6100,小売業,14,小売
48910,3250,医薬品,5,医薬品
31770,6100,小売業,14,小売
93880,5200,倉庫･運輸関連業,12,運輸・物流
